model,iteration,env_name,win_rate,num_markets,avg_pnl_per_market,total_pnl,pnl_per_1k_capital,sharpe_ratio,max_drawdown,turnover,total_fees_paid,fee_fraction_gross_pnl,avg_holding_period
0.7T_0.1E_qtableITER0,0,training,51.041666666666664,96,0.033436689219791656,3.209922165099998,0.003209922165099998,0.07954576654255383,2.8621916252000004,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER1,1,training,67.70833333333334,96,0.20833881149583341,20.000525903600003,0.020000525903600002,0.47977565870685895,2.306462161299997,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER2,2,training,63.541666666666664,96,0.13253271052395835,12.723140210299995,0.012723140210299995,0.3026947438250106,2.044661386800003,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER3,3,training,61.458333333333336,96,0.09838368830208337,9.444834077,0.009444834077,0.22381902365781964,2.7618268462000017,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER4,4,training,66.66666666666666,96,0.16430968621041667,15.773729876200008,0.01577372987620001,0.35128029553236884,2.4564551317999985,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER5,5,training,63.541666666666664,96,0.13696814017500003,13.148941456799998,0.013148941456799998,0.3259468556296704,1.808849115500001,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER6,6,training,60.416666666666664,96,0.08822349926875,8.469455929799997,0.008469455929799996,0.21291155517648158,2.3244985524000006,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER7,7,training,62.5,96,0.14254644175416667,13.684458408400006,0.013684458408400007,0.33103197325344735,1.5166160811999996,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER8,8,training,57.291666666666664,96,0.11176374932812501,10.729319935499998,0.010729319935499998,0.2614113236458462,2.1533639013,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER9,9,training,37.5,96,-0.020498278140624996,-1.9678347014999968,-0.001967834701499997,-0.04468069582418898,6.6234447962999985,5760.0,0.0,0.0,60.0
0.7T_0.1E_qtableITER10,10,training,60.416666666666664,96,0.11380377088333334,10.925162004800002,0.010925162004800003,0.28127780190712276,1.783079944299999,5760.0,0.0,0.0,60.0
