,runs,mean,sd,min,max
n_traded,30,1369.4333333333334,1177.8060165594663,9.0,3504.0
trade_rate,30,0.2315187376725838,0.19912189629069593,0.0015215553677092,0.5923922231614539
total_fills,30,1926.7666666666667,1845.6447463921809,18.0,7708.0
total_pnl,30,-2983.988652034498,6437.029688541402,-25677.963134822327,3627.737648629033
gross_pnl,30,-1314.0240637636266,4196.8655552331265,-14609.985544259756,3974.0605164170192
total_fees,30,1669.9645882708705,2366.932595125011,56.35958839879601,11067.97759056257
capital_deployed,30,136943.33333333334,117780.60165594664,900.0,350400.0
avg_pnl_per_market,30,-0.5044782167429411,1.0882552305226376,-4.341160293292025,0.6133115213235897
median_pnl,30,0.09401010101010172,0.28685168309995135,0.0,0.9401010101010172
pnl_per_1k_deployed,30,-37.22949445592274,81.32425164656563,-245.21424686735443,179.9889792304115
gross_pnl_per_1k_deployed,30,-5.995441540798542,80.73944992798317,-151.02992433366512,281.5172053945671
fee_per_1k_deployed,30,31.234052915124195,34.76395965011106,1.0548975564666032,127.754930559379
fee_fraction_gross_pnl,30,4.029410405463471,9.024849339583353,0.0871458465107189,33.46637309852361
avg_return,30,-0.00504478216742939,0.010882552305226365,-0.0434116029329202,0.0061331152132358
return_ci95_lo,30,-0.00710943092047813,0.012075329347367391,-0.0481127990080265,0.0050536648319204
return_ci95_hi,30,-0.0030296279439391742,0.00971787725880796,-0.0386493818547463,0.0069990118658132
win_rate,30,0.6321438542713677,0.2877431506249721,0.20926243567753,0.9966494060310692
profit_factor,30,1.3803628492968736,1.7707066093240138,0.1424037077614349,6.1060947296543056
sharpe,30,-5.608372271928653,17.153351667347337,-43.45856574709234,30.562824324821246
sharpe_per_market,30,-0.02996089514732588,0.09163617281665704,-0.232163178275261,0.1632718961231181
t_stat,30,-2.3042635988406075,7.047649822216217,-17.85544650986751,12.557084329430156
max_drawdown,30,3660.9292025992877,6052.102196739284,83.26136226678997,25774.19768058378
turnover,30,1.5711972867910795,0.47400359349135635,1.0040353444608832,2.291331261909273
avg_holding_candles,30,2.574438486741159,1.5751893467683293,1.0027855153203342,6.57451403887689
early_exit_rate,30,0.5426804113979042,0.42778543431650173,0.0018275967103259,1.0
